index,name,startX,startY,width,height,nothing
1,dashboard_bg.svg,22.8,3.15,0,0,
2,dashboard_spaceship.svg,31.35,7.35,981,612,
3,screenBgTmp.jpg,0,0,0,0,
4,connect.svg,790,22,810,583,
5,buttonClose.svg,0,0,20,20,
6,buttonMaximize.svg,0,0,20,20,
7,buttonPause.svg,0,0,20,20,
8,buttonPlay.svg,0,0,20,20,
9,buttonRestoreDown.svg,0,0,20,20,
10,mapIcon.png,0,0,16,22,
11,xia0.svg,0,0,20,20,
12,xia0_outline.svg,0,0,20,20,
13,xia1.svg,0,0,20,20,
14,xia1_outline.svg,0,0,20,20,
15,shang0.svg,0,0,20,20,
16,shang0_outline.svg,0,0,20,20,
17,shang1.svg,0,0,20,20,
18,shang1_outline.svg,0,0,20,20,
19,zhou0.svg,0,0,20,20,
20,zhou0_outline.svg,0,0,20,20,
21,zhou1.svg,0,0,20,20,
22,zhou1_outline.svg,0,0,20,20,
23,qin0.svg,0,0,20,20,
24,qin0.svg,0,0,20,20,
25,qin0_outline.svg,0,0,20,20,
26,qin1.svg,0,0,20,20,
27,qin1_outline.svg,0,0,20,20,
28,han0.svg,0,0,20,20,
29,han0_outline.svg,0,0,20,20,
30,han1.svg,0,0,20,20,
31,han1_outline.svg,0,0,20,20,
32,han2.svg,0,0,20,20,
33,han2_outline.svg,0,0,20,20,
34,sanguo0.svg,0,0,20,20,
35,sanguo0_outline.svg,0,0,20,20,
36,sanguo1.svg,0,0,20,20,
37,sanguo1_outline.svg,0,0,20,20,
38,jin0.svg,0,0,20,20,
39,jin0_outline.svg,0,0,20,20,
40,jin1.svg,0,0,20,20,
41,jin1_outline.svg,0,0,20,20,
42,nanbeichao0.svg,0,0,20,20,
43,nanbeichao0_outline.svg,0,0,20,20,
44,nanbeichao1.svg,0,0,20,20,
45,nanbeichao1_outline.svg,0,0,20,20,
46,sui0.svg,,,,,
47,sui0_outline.svg,,,,,
48,sui1.svg,,,,,
49,sui1_outline.svg,,,,,
50,tang0.svg,0,0,20,20,
51,tang0_outline.svg,0,0,20,20,
52,tang1.svg,0,0,20,20,
53,tang1_outline.svg,0,0,20,20,
54,tang2.svg,0,0,20,20,
55,tang2_outline.svg,0,0,20,20,
56,tang3.svg,0,0,20,20,
57,tang3_outline.svg,0,0,20,20,
58,song0.svg,0,0,20,20,
59,song0_outline.svg,0,0,20,20,
60,song1.svg,0,0,20,20,
61,song1_outline.svg,0,0,20,20,
62,song2.svg,0,0,20,20,
63,song2_outline.svg,0,0,20,20,
64,yuan0.svg,0,0,20,20,
65,yuan0_outline.svg,0,0,20,20,
66,yuan1.svg,0,0,20,20,
67,yuan1_outline.svg,0,0,20,20,
68,yuan2.svg,0,0,20,20,
69,yuan2_outline.svg,0,0,20,20,
70,ming0.svg,0,0,20,20,
71,ming0_outline.svg,0,0,20,20,
72,ming1.svg,0,0,20,20,
73,ming1_outline.svg,0,0,20,20,
74,ming2.svg,0,0,20,20,
75,ming2_outline.svg,0,0,20,20,
76,qing0.svg,0,0,20,20,
77,qing0_outline.svg,0,0,20,20,
78,qing1.svg,0,0,20,20,
79,qing1_outline.svg,0,0,20,20,
80,qing2.svg,0,0,20,20,
81,qing2_outline.svg,0,0,20,20,
